======================================================================
WINDOW: FOREGROUND WINDOW
======================================================================
Window Rect: L=-2, T=8, R=1380, B=736
├─ Title='inspect_share_payout.py - TradePlus_Automation - Visual Studio Code'  auto_id=''  type='Window'  class='Chrome_WidgetWin_1'  rect=(L-2, T8, R1380, B736)
  ├─ Title=''  auto_id=''  type='Pane'  class='Intermediate D3D Window'  rect=(L6, T8, R1372, B728)
  ├─ Title='inspect_share_payout.py - TradePlus_Automation - Visual Studio Code'  auto_id=''  type='Pane'  class='RootView'  rect=(L6, T8, R1372, B728)
    ├─ Title=''  auto_id=''  type='Pane'  class='NonClientView'  rect=(L6, T8, R1372, B728)
      ├─ Title=''  auto_id=''  type='Pane'  class='WinFrameView'  rect=(L6, T8, R1372, B728)
        ├─ Title=''  auto_id=''  type='Pane'  class='WinCaptionButtonContainer'  rect=(L1235, T9, R1372, B42)
          ├─ Title='Minimize'  auto_id=''  type='Button'  class='WinCaptionButton'  rect=(L1235, T9, R1280, B42)
          ├─ Title='Maximize'  auto_id=''  type='Button'  class='WinCaptionButton'  rect=(L1280, T9, R1326, B42)
          ├─ Title='Close'  auto_id=''  type='Button'  class='WinCaptionButton'  rect=(L1326, T9, R1372, B42)
        ├─ Title=''  auto_id=''  type='Pane'  class='ClientView'  rect=(L6, T8, R1372, B728)
          ├─ Title=''  auto_id=''  type='Pane'  class='View'  rect=(L6, T8, R1372, B728)
            ├─ Title=''  auto_id=''  type='Pane'  class='View'  rect=(L6, T8, R1372, B728)
              ├─ Title=''  auto_id=''  type='Pane'  class='View'  rect=(L6, T8, R1372, B728)
              ├─ Title=''  auto_id=''  type='Pane'  class='View'  rect=(L6, T8, R1372, B728)
